H_over_D,sigma_R,Esr_over_Ed
0.3386837881219903,0.6598984771573599,1.5
0.4269662921348314,0.6472081218274113,1.5
0.5040128410914928,0.6154822335025374,1.5
0.56661316211878,0.5837563451776644,1.5
0.6500802568218298,0.5329949238578671,1.5
0.6099518459069022,0.5583756345177662,1.5
0.6982343499197434,0.501269035532995,1.5
0.767255216693419,0.4631979695431463,1.5
0.8009630818619584,0.4441624365482228,1.5
0.839486356340289,0.4187817258883237,1.5
0.8780096308186196,0.3997461928934003,1.5
0.9181380417335474,0.3743654822335021,1.5
0.9518459069020866,0.3553299492385777,1.5
0.998394863563403,0.3236040609137056,1.5
0.2841091492776885,0.7614213197969537,2.0
0.3499197431781701,0.7614213197969537,2.0
0.3836276083467094,0.7550761421319798,2.0
0.4365971107544141,0.7423857868020294,2.0
0.4735152487961476,0.7233502538071059,2.0
0.5248796147672552,0.6979695431472077,2.0
0.579454253611557,0.6535532994923852,2.0
0.6260032102728734,0.6218274111675122,2.0
0.667736757624398,0.596446700507614,2.0
0.7174959871589086,0.5583756345177662,2.0
0.780096308186196,0.5203045685279184,2.0
0.8186195826645266,0.4885786802030454,2.0
0.8651685393258428,0.4568527918781715,2.0
0.8988764044943822,0.4314720812182742,2.0
0.940609951845907,0.3997461928934003,2.0
0.998394863563403,0.3616751269035534,2.0
0.9711075441412522,0.3807106598984768,2.0
0.2439807383627608,0.901015228426396,2.5
0.3001605136436597,0.8883248730964457,2.5
0.348314606741573,0.8692893401015223,2.5
0.4012841091492776,0.8502538071065988,2.5
0.4510433386837881,0.8185279187817249,2.5
0.4991974317817014,0.7804568527918772,2.5
0.550561797752809,0.7423857868020294,2.5
0.6003210272873194,0.6979695431472077,2.5
0.6388443017656502,0.6662436548223347,2.5
0.6934189406099518,0.6218274111675122,2.5
0.7351524879614768,0.596446700507614,2.5
0.7720706260032104,0.5774111675126905,2.5
0.810593900481541,0.5456852791878166,2.5
0.8507223113964688,0.5139593908629436,2.5
0.882825040128411,0.4949238578680193,2.5
0.9229534510433388,0.4631979695431463,2.5
0.9518459069020866,0.4378172588832481,2.5
0.9967897271268058,0.4060913705583751,2.5
0.2263242375601926,1.0532994923857864,3.0
0.2825040128410915,1.027918781725888,3.0
0.3418940609951845,0.9835025380710656,3.0
0.3836276083467094,0.9581218274111674,3.0
